Tables, Description
EEF,EEF Values
Table 6.5,GHG equivalent emissions reduction variables for Scenarios 6A to 6G (i-xi) 
Table 6.6,Heating savings calculation inputs
Table 6.8,Cooling savings calculation inputs 
Table 6.11,Incumbent System GIHbase and GICbase (t CO2-e/MWh) and Deemed Baseline HSPF Base and TCSPF Base Factors 
Table 6.12,Deemed Baseline HSPF and TCSPF Factors According to Upgrade (Scenario) Type - Residential* 
Table 6.13,Deemed Baseline HSPF and TCSPF Factors According to Upgrade (Scenario) Type - Business* 
Table 6.14,Deemed Building Thermal Loads - BTLHeat and BTLCool for VEU Climatic Regions 
