Product Type,Cooling Capacity R(kW),Baseline Cooling AEER
Air-air Non-Ducted,R < 4,3.66
Air-air Non-Ducted,4 ≤ R < 10,3.22
Air-air Ducted,R < 10,3.1
Air-air Ducted or Non-Ducted,10 ≤ R < 39,3.1
Air-air Ducted or Non-Ducted,39 ≤ R ≤ 65,2.9
