Product Category No.,Brand,Model,Product Type,Product Configuration,Product Unit Mount,GEMS Class,Heating Capacity (kW),Cooling Capacity (kW),AEER,ACOP,GEMS HSPF Cold (com),GEMS HSPF Mixed (com),GEMS HSPF Cold (res),GEMS HSPF Mixed (res),GEMS TCSPF Cold (com),GEMS TCSPF Mixed (com),GEMS TCSPF Cold (res),GEMS TCSPF Mixed (res),Calculated HSPF Cold (com),Calculated HSPF Mixed (com),Calculated HSPF Cold (res),Calculated HSPF Mixed (res),Calculated TCSPF Cold (com),Calculated TCSPF Mixed (com),Calculated TCSPF Cold (res),Calculated TCSPF Mixed (res),Refrigerant Type (GWP),Status,Application Date,Effective From,Effective To
6E(ii),Panasonic,CU-HZ80YKR / CS-HZ80YKR,Non-Ducted,Single split system,Wall Hung,Class 9,9.00,8.00,3.336,3.832,4.256,4.739,3.899,4.465,7.526,6.622,5.494,5.128,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,R-32,Approved,,31/05/2023,
6D,Panasonic,CU-RZ35XKR / CS-RZ35XKRW,Non-Ducted,Single split system,Wall Hung,Class 8,4.00,3.50,4.329,4.606,4.545,5.085,4.245,4.886,9.397,8.051,6.183,5.952,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,R-32,Approved,,31/05/2023,
6E(i),Panasonic,CU-RZ60XKR / CS-RZ60XKRW,Non-Ducted,Single split system,Wall Hung,Class 9,6.50,6.00,3.228,3.424,4.346,4.920,3.907,4.522,8.758,7.153,5.463,5.089,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,R-32,Approved,,31/05/2023,
6E(ii),Panasonic,CU-RZ71XKR / CS-RZ71XKRW,Non-Ducted,Single split system,Wall Hung,Class 9,8.00,7.10,3.433,3.812,4.195,4.747,3.828,4.453,7.992,6.825,5.399,5.096,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,R-32,Approved,,31/05/2023,
6E(ii),Panasonic,CU-RZ80XKR / CS-RZ80XKR,Non-Ducted,Single split system,Wall Hung,Class 9,9.00,8.00,3.263,3.641,4.139,4.601,3.782,4.312,7.776,6.751,5.343,5.027,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,R-32,Approved,,31/05/2023,
6E(ii),Panasonic,CU-RZ80YKR / CS-RZ80YKR,Non-Ducted,Single split system,Wall Hung,Class 9,9.00,8.00,3.336,3.832,4.256,4.739,3.899,4.465,7.526,6.622,5.494,5.128,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,R-32,Approved,,31/05/2023,
6D,Panasonic,CU-Z35XKR / CS-Z35XKRW,Non-Ducted,Single split system,Wall Hung,Class 8,4.00,3.50,4.329,4.606,4.545,5.085,4.245,4.886,9.397,8.051,6.183,5.952,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,R-32,Approved,,31/05/2023,
6E(i),Panasonic,CU-Z50XKR-1 / CS-Z50XKRW-1,Non-Ducted,Single split system,Wall Hung,Class 9,6.00,5.00,3.792,4.200,4.426,4.937,4.105,4.695,9.607,8.079,6.150,5.805,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,R-32,Approved,,31/05/2023,
6E(i),Panasonic,CU-Z60XKR / CS-Z60XKRW,Non-Ducted,Single split system,Wall Hung,Class 9,6.50,6.00,3.228,3.424,4.346,4.920,3.907,4.522,8.758,7.153,5.463,5.089,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,R-32,Approved,,31/05/2023,
6E(ii),Panasonic,CU-Z71XKR / CS-Z71XKRW,Non-Ducted,Single split system,Wall Hung,Class 9,8.00,7.10,3.433,3.812,4.195,4.747,3.828,4.453,7.992,6.825,5.399,5.096,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,R-32,Approved,,31/05/2023,
6E(ii),Panasonic,CU-Z71XKR-1 / CS-Z71XKR-1,Non-Ducted,Single split system,Wall Hung,Class 9,8.00,7.10,3.663,4.236,4.446,4.914,4.152,4.691,8.395,7.210,5.884,5.506,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,R-32,Approved,,31/05/2023,
