Product Category No.,Brand,Model,Product Type,Product Configuration,Product Unit Mount,GEMS Class,Heating Capacity (kW),Cooling Capacity (kW),AEER,ACOP,GEMS HSPF Cold (com),GEMS HSPF Mixed (com),GEMS HSPF Cold (res),GEMS HSPF Mixed (res),GEMS TCSPF Cold (com),GEMS TCSPF Mixed (com),GEMS TCSPF Cold (res),GEMS TCSPF Mixed (res),Calculated HSPF Cold (com),Calculated HSPF Mixed (com),Calculated HSPF Cold (res),Calculated HSPF Mixed (res),Calculated TCSPF Cold (com),Calculated TCSPF Mixed (com),Calculated TCSPF Cold (res),Calculated TCSPF Mixed (res),Refrigerant Type (GWP),Status,Application Date,Effective From,Effective To
6E(i),Panasonic,U-71PZH3R5/S-6071PT3E,Non-Ducted,Single split system,Under Ceiling,Class 9,8.00,6.80,3.812,3.876,4.533,5.189,4.004,4.634,7.553,6.923,5.245,5.133,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,R-32,Pending Assessment,09/08/2023,,
6E(ii),Panasonic,U-71PZH3R5/S-6071PU3E,Non-Ducted,Single split system,Casette,Class 9,8.00,7.10,3.958,4.202,4.630,5.307,4.114,4.772,7.417,6.839,5.161,5.104,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,R-32,Approved,,31/05/2023,
6F,PANASONIC,U-10ME2R8,Non-Ducted,Variable refrigerant flow,N/A,Class 20,31.50,28.00,3.643,4.312,5.097,6.914,4.204,5.499,8.152,7.224,4.955,4.932,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,R-410A,Pending Assessment,09/08/2023,,
6F,PANASONIC,U-10MF3R7,Non-Ducted,Variable refrigerant flow,N/A,Class 20,31.50,28.00,4.376,4.892,5.143,5.885,4.714,5.571,7.582,7.117,5.656,5.555,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,R-410A,Pending Assessment,09/08/2023,,
6F,PANASONIC,U-12MF3R7,Non-Ducted,Variable refrigerant flow,N/A,Class 20,37.50,33.50,3.833,4.418,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,4.334,4.956,3.940,4.572,6.636,6.126,4.926,4.822,R-410A,Pending Assessment,09/08/2023,,
6G,PANASONIC,U-14ME2R8,Non-Ducted,Variable refrigerant flow,N/A,Class 21,45.00,40.00,3.367,4.213,3.608,4.682,2.876,3.590,8.326,7.374,5.018,4.913,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,R-410A,Pending Assessment,09/08/2023,,
6G,PANASONIC,U-14MF3R7,Non-Ducted,Variable refrigerant flow,N/A,Class 21,45.00,40.00,3.601,4.088,4.512,5.267,4.035,4.887,6.184,5.814,4.596,4.527,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,R-410A,Pending Assessment,09/08/2023,,
6G,PANASONIC,U-16ME2R8,Non-Ducted,Variable refrigerant flow,N/A,Class 21,50.00,45.00,2.964,3.852,3.359,4.056,2.514,2.934,8.409,7.232,4.900,4.703,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,R-410A,Pending Assessment,09/08/2023,,
6G,PANASONIC,U-16MF3R7,Non-Ducted,Variable refrigerant flow,N/A,Class 21,50.00,45.00,3.407,4.063,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3.035,3.518,0.000,0.000,5.325,4.981,0.000,0.000,R-410A,Pending Assessment,09/08/2023,,
6G,PANASONIC,U-18ME2R8,Non-Ducted,Variable refrigerant flow,N/A,Class 21,56.00,50.00,3.189,4.348,3.736,4.562,3.087,3.935,13.234,8.830,5.435,5.196,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,R-410A,Pending Assessment,09/08/2023,,
6F,PANASONIC,U-8ME2R8,Non-Ducted,Variable refrigerant flow,N/A,Class 20,25.00,22.40,3.780,5.713,6.639,7.547,5.944,6.839,7.929,7.143,4.980,4.962,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,R-410A,Pending Assessment,09/08/2023,,
6E(i),Rinnai,HONRJ50B/HINRJ50B,Non-Ducted,Single split system,Wall Hung,Class 9,5.20,5.20,4.042,4.106,4.173,4.608,3.882,4.380,11.077,8.625,6.146,5.887,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,R-32,Pending Assessment,07/08/2023,,
6E(i),Rinnai,HONRT50B/HINRT50B,Non-Ducted,Single split system,Wall Hung,Class 9,5.20,5.20,4.042,4.106,4.173,4.608,3.882,4.380,11.077,8.625,6.146,5.887,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,R-32,Pending Assessment,07/08/2023,,
6D,Rinnai,HSNRP26B,Non-Ducted,Single split system,N/A,Class 8,2.70,2.65,4.981,5.273,5.175,5.505,4.961,5.345,16.555,11.782,7.887,7.497,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,R-32,Pending Assessment,30/08/2023,,
6D,Rinnai,HSNRP35B,Non-Ducted,Single split system,N/A,Class 8,3.80,3.50,4.416,4.564,5.052,5.759,4.501,5.216,15.297,10.732,7.070,6.763,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,R-32,Pending Assessment,30/08/2023,,
6E(i),Rinnai,HSNRP50B,Non-Ducted,Single split system,N/A,Class 9,5.40,5.00,3.896,4.020,4.028,4.540,3.708,4.309,10.954,8.442,6.171,5.830,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,R-32,Pending Assessment,30/08/2023,,
6E(ii),Rinnai,HSNRP70B,Non-Ducted,Single split system,N/A,Class 9,7.80,7.15,3.717,3.913,4.160,4.614,4.203,4.422,7.530,6.571,4.904,5.140,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,R-32,Pending Assessment,30/08/2023,,
6E(ii),Rinnai,HSNRP80B,Non-Ducted,Single split system,N/A,Class 9,8.30,7.80,3.540,3.635,4.059,4.557,3.659,4.197,8.314,7.021,5.479,5.207,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,R-32,Pending Assessment,30/08/2023,,
6E(ii),RINNAI,MON3H07B,Non-Ducted,Multiple split - fixed head,N/A,Class 19,7.40,7.50,3.712,4.538,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,4.697,5.310,4.325,4.974,6.919,6.207,5.130,4.948,R-32,Pending Assessment,30/08/2023,,
6E(ii),RINNAI,MON4H09B,Non-Ducted,Multiple split - fixed head,N/A,Class 19,9.60,9.15,3.759,4.166,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,4.312,4.874,3.970,4.566,7.007,6.285,5.195,5.011,R-32,Pending Assessment,30/08/2023,,
6D,Smart Lifestyle Australia,SLA-26-CHSD,Non-Ducted,Single split system,Wall Hung,Class 8,2.72,2.65,4.968,5.100,5.262,5.646,4.990,5.427,18.049,12.528,8.056,7.647,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,R-32,Approved,,31/05/2023,
6D,Smart Lifestyle Australia,SLA-28-CHSD,Non-Ducted,Single split system,Wall Hung,Class 8,2.65,2.80,5.108,5.542,4.948,5.317,4.755,5.161,11.898,9.848,6.593,6.533,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,R-32,Approved,,31/05/2023,
6D,Smart Lifestyle Australia,SLA-35-CHSD,Non-Ducted,Single split system,Wall Hung,Class 8,3.80,3.50,4.412,4.560,5.052,5.759,4.501,5.216,15.188,10.687,7.005,6.716,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,R-32,Approved,,31/05/2023,
6E(i),Smart Lifestyle Australia,SLA-52-CHSD,Non-Ducted,Single split system,Wall Hung,Class 9,5.20,5.20,3.669,4.273,4.063,4.435,3.843,4.276,8.748,7.149,5.234,5.050,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,R-32,Approved,,31/05/2023,
6E(ii),Smart Lifestyle Australia,SLA-72-CHSD,Non-Ducted,Single split system,Wall Hung,Class 9,7.20,7.20,3.756,4.193,4.055,4.547,3.735,4.297,7.370,6.444,5.205,5.013,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,R-32,Approved,,31/05/2023,
6E(ii),Smart Lifestyle Australia,SLA-82-CHSD,Non-Ducted,Single split system,Wall Hung,Class 9,8.50,8.20,3.536,3.665,4.140,4.693,3.756,4.376,7.060,6.260,5.165,4.926,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,R-32,Approved,,31/05/2023,
6F,Smart User,SMV-V180W/N1,Non-Ducted,Multiple split - variable refrigerant flow,Wall Hung,Class 20,19.00,15.50,4.285,5.238,5.139,5.600,4.914,5.447,6.619,6.205,5.568,5.369,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,R-410A,Approved,,31/05/2023,
6E(i),TCL,TAC-18CHSD/TPG11IT,Non-Ducted,Single split system,Wall Hung,Class 9,5.20,5.20,3.670,4.273,4.063,4.435,3.843,4.276,8.748,7.149,5.234,5.050,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,R-32,Pending Assessment,07/08/2023,,
6E(ii),TCL,TAC-24CHSD/TPG11IT,Non-Ducted,Single split system,Wall Hung,Class 9,7.20,7.20,3.756,4.194,4.055,4.547,3.735,4.297,7.370,6.444,5.205,5.013,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,R-32,Pending Assessment,07/08/2023,,
6E(ii),TCL,TAC-28CHSD/TPG11IT,Non-Ducted,Single split system,Wall Hung,Class 9,8.50,8.20,3.536,3.666,4.140,4.693,3.756,4.376,7.060,6.260,5.165,4.926,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,R-32,Approved,,31/05/2023,
6E(i),Toshiba,RAS-18E2AVSG-A/RAS-18E2KVSG-A,Non-Ducted,Single split system,Wall Hung,Class 9,5.80,5.00,3.836,4.133,4.413,4.943,4.022,4.581,6.363,5.922,5.389,5.125,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,R-32,Approved,,31/05/2023,
6E(i),Toshiba,RAS-22E2AVSG-A/RAS-22E2KVSG-A,Non-Ducted,Single split system,Wall Hung,Class 9,6.90,6.00,3.813,4.075,4.091,4.580,3.779,4.380,6.291,5.856,5.345,5.083,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,R-32,Approved,,31/05/2023,
6A,Toshiba,RAV-GP561ATP-A/RAV-GM561DTP-A,Ducted,Single split system,N/A,Class 10,5.60,5.00,3.658,4.527,3.988,4.454,3.755,4.342,5.450,5.139,4.490,4.389,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,R-32,Approved,,31/05/2023,
